career_best_points,defence_touch_points,defending_bonus_points,empty_raid,green_cards,high_5s,location,match_played,name,not_out_percentage,player_id,player_team,player_team_arr,point,points_defence_offence,points_per_match_raid_tackle,raid_bonus_points,raid_map_locations,raid_points_per_match,raid_touch_points,raids,red_cards,role,series_id,series_name,success_raid_percent,success_raids,success_tackles,success_tackles_per_match,super_10s,super_raids,super_tackles,tackle_bonus_points,tackle_success_rate,tackles,total_capture_points,total_defending_points,total_raid_points,total_tackle_points,unsuccesful_tackles,unsuccess_raids,yellow_cards
3,13,2,0,1,0,,12,Ankit,0.0,2667,0,"[{'team_id': 31, 'team_name': 'Gujarat Fortunegiants', 'team_short_name': 'Gujarat', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",13,13,1.08,0,,0.0,0,0,0,,49,"Pro Kabaddi League Season 7, 2019",0.0,0,11,0.91,0,0,2,,41.93,31,,13,0,13,20,0,0
0,0,0,0,0,0,,1,Sumit,0.0,2668,0,"[{'team_id': 2, 'team_name': 'Dabang Delhi K.C.', 'team_short_name': 'Delhi', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",0,0,0.0,0,,0.0,0,0,0,,49,"Pro Kabaddi League Season 7, 2019",0.0,0,0,0.0,0,0,0,,0.0,0,,0,0,0,0,0,0
2,0,0,1,0,0,,1,Balram,100.0,2669,0,"[{'team_id': 2, 'team_name': 'Dabang Delhi K.C.', 'team_short_name': 'Delhi', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",2,2,2.0,0,,2.0,2,2,0,,49,"Pro Kabaddi League Season 7, 2019",100.0,1,0,0.0,0,0,0,,0.0,0,,0,2,0,0,0,0
8,41,5,0,0,4,,16,Saurabh Nandal,100.0,2670,0,"[{'team_id': 1, 'team_name': 'Bengaluru Bulls', 'team_short_name': 'Bengaluru', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",42,42,2.62,0,,0.06,1,1,0,,49,"Pro Kabaddi League Season 7, 2019",100.0,1,36,2.25,0,0,5,,55.4,74,,41,1,41,38,0,0
1,1,0,0,0,0,,3,Naveen Narwal,0.0,2671,0,"[{'team_id': 4, 'team_name': 'Bengal Warriors', 'team_short_name': 'Bengal', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",1,1,0.33,0,,0.0,0,0,0,,49,"Pro Kabaddi League Season 7, 2019",0.0,0,1,0.33,0,0,0,,12.5,8,,1,0,1,7,0,0
4,15,1,0,0,0,,14,Sumit Malik,0.0,2672,0,"[{'team_id': 31, 'team_name': 'Gujarat Fortunegiants', 'team_short_name': 'Gujarat', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",15,15,1.07,0,,0.0,0,0,0,,49,"Pro Kabaddi League Season 7, 2019",0.0,0,14,1.0,0,0,1,,46.87,32,,15,0,15,18,0,0
4,2,0,32,0,0,,8,Vineet Sharma,71.42,268,0,"[{'team_id': 4, 'team_name': 'Bengal Warriors', 'team_short_name': 'Bengal', 'series_id': 2, 'series_name': 'Pro Kabaddi League Season 2, 2015', 'is_latest': True}]",10,10,1.25,0,,1.0,8,56,0,,2,"Pro Kabaddi League Season 2, 2015",14.28,8,2,0.25,0,0,0,,16.66,12,,2,8,2,10,16,0
6,1,0,21,0,0,,4,Vineet Sharma,78.37,268,0,"[{'team_id': 4, 'team_name': 'Bengal Warriors', 'team_short_name': 'Bengal', 'series_id': 3, 'series_name': 'Pro Kabaddi League Season 3, 2016', 'is_latest': True}]",9,9,2.25,1,,2.0,7,37,0,,3,"Pro Kabaddi League Season 3, 2016",21.62,8,1,0.25,0,0,0,,25.0,4,,1,8,1,3,8,0
4,14,1,75,1,0,,18,Vineet Sharma,86.53,268,0,"[{'team_id': 29, 'team_name': 'Tamil Thalaivas', 'team_short_name': 'Tamil Nadu', 'series_id': 8, 'series_name': 'Pro Kabaddi League Season 5, 2017', 'is_latest': True}]",30,30,1.66,10,,0.88,6,104,0,,8,"Pro Kabaddi League Season 5, 2017",15.38,15,13,0.72,0,0,1,,34.14,41,,14,16,14,28,14,0
5,7,1,9,0,0,,10,Vineet Sharma,68.75,268,0,"[{'team_id': 29, 'team_name': 'Tamil Thalaivas', 'team_short_name': 'Tamil Nadu', 'series_id': 49, 'series_name': 'Pro Kabaddi League Season 7, 2019', 'is_latest': True}]",14,14,1.4,6,,0.7,1,16,0,,49,"Pro Kabaddi League Season 7, 2019",43.75,2,6,0.6,0,0,1,,50.0,14,,7,7,7,8,5,0
