player_id,player_team,team_name,season,career_best_points,defence_touch_points,defending_bonus_points,empty_raid,green_cards,high_5s,location,match_played,name,not_out_percentage,point,points_defence_offence,points_per_match_raid_tackle,raid_bonus_points,raid_map_locations,raid_points_per_match,raid_touch_points,raids,red_cards,role,success_raids,success_tackles,success_tackles_per_match,super_10s,super_raids,super_tackles,tackle_bonus_points,tackles,total_capture_points,total_defending_points,total_raid_points,total_tackle_points,unsuccesful_tackles,unsuccess_raids,yellow_cards
15,0,Bengaluru Bulls,49,0,0,0,0,0,0,0,0,Sanjay Shrestha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,Telugu Titans,1,2,0,0,5,0,0,,7,Prashanth Kumar Rai,76.92,5,5,0.71,1,,0.71,4,13,0,,5,0,0,0,0,0,,8,,0,5,0,8,3,0
155,0,Telugu Titans,2,10,4,1,45,0,0,,15,Prashanth Kumar Rai,82.07,58,58,3.86,8,,3.6,46,106,0,,42,3,0.2,1,1,1,,10,,4,54,4,7,19,0
155,0,Telugu Titans,3,3,0,0,16,0,0,,13,Prashanth Kumar Rai,68.57,12,12,0.92,3,,0.92,9,35,0,,8,0,0,0,0,0,,4,,0,12,0,4,11,0
155,0,Dabang Delhi K.C.,4,10,0,0,18,0,0,,9,Prashanth Kumar Rai,76.92,19,19,2.11,3,,2.11,16,39,0,,12,0,0,1,2,0,,0,,0,19,0,0,9,0
155,0,Haryana Steelers,8,16,2,1,61,0,0,,16,Prashanth Kumar Rai,82.55,80,80,5,15,,4.87,63,149,0,,62,1,0.06,3,3,1,,10,,2,78,2,9,26,0
155,0,U.P. Yoddha,26,13,3,1,102,1,0,,21,Prashanth Kumar Rai,81.99,147,147,7,58,,6.85,86,261,0,,112,2,0.09,5,2,1,,9,,3,144,3,7,47,0
155,0,Haryana Steelers,49,10,0,0,31,0,0,,13,Prashanth Kumar Rai,76.76,58,58,4.46,12,,4.46,46,99,0,,45,0,0,1,0,0,,5,,0,58,0,5,23,0
156,0,U Mumba,1,14,1,0,31,0,0,,10,Pawan Kumar Kadian,72.41,44,44,4.4,12,,4.3,31,87,0,,32,1,0.1,1,0,0,,7,,1,43,1,6,24,0
156,0,U Mumba,2,7,0,0,17,0,0,,10,Pawan Kumar Kadian,61.9,16,16,1.6,6,,1.6,10,42,0,,9,0,0,0,1,0,,1,,0,16,0,1,16,0
156,0,U Mumba,3,3,0,0,16,1,0,,5,Pawan Kumar Kadian,80,6,6,1.2,0,,1.2,6,25,0,,4,0,0,0,0,0,,2,,0,6,0,2,5,0
156,0,Bengaluru Bulls,4,6,1,0,35,0,0,,9,Pawan Kumar Kadian,75.75,21,21,2.33,7,,2.22,13,66,0,,15,1,0.11,0,0,0,,7,,1,20,1,6,16,0
156,0,Jaipur Pink Panthers,8,17,0,0,120,1,0,,21,Pawan Kumar Kadian,75.7,122,122,5.8,13,,5.8,109,284,0,,95,0,0,3,2,0,,13,,0,122,0,13,69,0
156,0,Dabang Delhi K.C.,26,9,0,0,40,0,0,,13,Pawan Kumar Kadian,80,45,45,3.46,12,,3.46,33,90,0,,32,0,0,0,1,0,,5,,0,45,0,5,18,0
156,0,Puneri Paltan,49,10,0,0,28,0,0,,6,Pawan Kumar Kadian,79.66,25,25,4.16,8,,4.16,17,59,0,,19,0,0,1,0,0,,2,,0,25,0,2,12,0
157,0,Dabang Delhi K.C.,1,7,29,0,0,1,3,,9,Ravinder Pahal,0,29,29,3.22,0,,0,0,0,0,,0,29,3.22,0,0,0,,64,,29,0,29,35,0,0
157,0,Dabang Delhi K.C.,2,9,60,7,11,4,5,,14,Ravinder Pahal,82.35,64,64,4.57,3,,0.28,1,17,0,,3,53,3.78,0,0,7,,96,,60,4,60,43,3,0
157,0,Dabang Delhi K.C.,3,9,26,4,26,1,2,,11,Ravinder Pahal,88.23,34,34,3.09,3,,0.72,5,34,0,,4,22,2,0,0,4,,58,,26,8,26,36,4,0
157,0,Puneri Paltan,4,6,37,2,0,1,3,,14,Ravinder Pahal,0,37,37,2.64,0,,0,0,0,0,,0,35,2.5,0,0,2,,72,,37,0,37,37,0,0
157,0,Bengaluru Bulls,8,7,52,3,4,0,3,,19,Ravinder Pahal,83.33,54,54,2.84,1,,0.1,1,6,1,,1,49,2.57,0,0,3,,104,,52,2,52,55,1,0
157,0,Dabang Delhi K.C.,26,6,59,3,0,2,4,,22,Ravinder Pahal,0,59,59,2.68,0,,0,0,0,0,,0,56,2.54,0,0,3,,125,,59,0,59,69,0,0
157,0,Dabang Delhi K.C.,49,8,55,0,1,2,3,,19,Ravinder Pahal,100,55,55,2.89,0,,0,0,1,0,,0,55,2.89,0,0,0,,123,,55,0,55,68,0,0
160,0,Jaipur Pink Panthers,1,8,25,2,6,0,1,,10,Ran Singh,68.75,36,36,3.6,5,,1.1,6,16,0,,5,23,2.3,0,1,2,,41,,25,11,25,18,5,0
160,0,Jaipur Pink Panthers,2,9,31,4,20,0,1,,14,Ran Singh,85.71,44,44,3.14,5,,0.92,8,35,0,,10,27,1.92,0,0,4,,53,,31,13,31,26,5,0
160,0,Jaipur Pink Panthers,3,5,21,0,28,0,0,,14,Ran Singh,75.43,41,41,2.92,6,,1.42,14,57,0,,15,21,1.5,0,2,0,,52,,21,20,21,31,14,0
160,0,Jaipur Pink Panthers,4,4,28,1,5,0,0,,16,Ran Singh,100,33,33,2.06,2,,0.31,3,9,0,,4,27,1.68,0,0,1,,62,,28,5,28,35,0,0
160,0,Bengal Warriors,8,7,52,3,12,1,2,,23,Ran Singh,81.48,64,64,2.78,8,,0.52,4,27,0,,10,49,2.13,0,0,3,,112,,52,12,52,63,5,0
160,0,Bengal Warriors,26,7,42,1,37,2,0,,22,Ran Singh,83.33,71,71,3.22,8,,1.31,21,72,0,,23,41,1.86,0,1,1,,88,,42,29,42,47,12,0
160,0,Tamil Thalaivas,49,4,28,1,5,0,0,,18,Ran Singh,71.42,37,37,2.05,5,,0.5,4,14,0,,5,27,1.5,0,0,1,,65,,28,9,28,38,4,0
161,0,Patna Pirates,1,6,23,1,3,2,1,,12,Girish Maruti Ernak,83.33,25,25,2.08,1,,0.16,1,6,0,,2,22,1.83,0,0,1,,70,,23,2,23,48,1,0
161,0,Patna Pirates,2,5,27,1,5,1,1,,13,Girish Maruti Ernak,100,27,27,2.07,0,,0,0,5,0,,0,26,2,0,0,1,,66,,27,0,27,40,0,0
161,0,Bengal Warriors,3,5,33,0,16,1,3,,11,Girish Maruti Ernak,94.11,34,34,3.09,1,,0.09,0,17,0,,0,33,3,0,0,0,,65,,33,1,33,32,1,0
161,0,Bengal Warriors,4,5,25,2,13,0,1,,12,Girish Maruti Ernak,100,25,25,2.08,0,,0,0,13,0,,0,23,1.91,0,0,2,,58,,25,0,25,35,0,0
161,0,Puneri Paltan,8,8,64,3,15,2,5,,21,Girish Maruti Ernak,88.88,69,69,3.28,3,,0.23,2,18,0,,1,61,2.9,0,1,3,,111,,64,5,64,50,2,0
161,0,Puneri Paltan,26,6,56,4,7,3,4,,20,Girish Maruti Ernak,87.5,57,57,2.85,1,,0.05,0,8,0,,0,52,2.6,0,0,4,,113,,56,1,56,61,1,0
161,0,Puneri Paltan,49,6,31,3,0,0,1,,15,Girish Maruti Ernak,0,32,32,2.13,1,,0.06,0,1,0,,0,28,1.86,0,0,3,,78,,31,1,31,50,1,0
172,0,Bengaluru Bulls,2,0,0,0,1,0,0,,2,Vinoth Kumar,33.33,0,0,0,0,,0,0,3,0,,0,0,0,0,0,0,,0,,0,0,0,0,2,0
172,0,Bengaluru Bulls,3,5,0,0,12,0,0,,7,Vinoth Kumar,62.5,16,16,2.28,4,,2.28,12,40,0,,13,0,0,0,0,0,,2,,0,16,0,2,15,0
172,0,Telugu Titans,4,4,0,0,7,0,0,,3,Vinoth Kumar,58.33,8,8,2.66,0,,2.66,8,24,0,,7,0,0,0,0,0,,1,,0,8,0,1,10,0
172,0,Telugu Titans,8,4,0,0,14,0,0,,4,Vinoth Kumar,82.6,6,6,1.5,3,,1.5,3,23,0,,5,0,0,0,0,0,,2,,0,6,0,2,4,0
172,0,U Mumba,49,0,0,0,2,0,0,,1,Vinoth Kumar,50,0,0,0,0,,0,0,4,0,,0,0,0,0,0,0,,1,,0,0,0,1,2,0
172,0,Bengaluru Bulls,1,0,0,0,0,0,0,0,0,Vinoth Kumar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,Telugu Titans,26,0,0,0,0,0,0,0,0,Vinoth Kumar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,0,Bengal Warriors,2,5,9,3,4,0,1,,8,Vikas Kale,100,9,9,1.12,0,,0,0,4,0,,0,6,0.75,0,0,3,,24,,9,0,9,18,0,0
179,0,Telugu Titans,3,3,12,0,0,0,0,,9,Vikas Kale,0,12,12,1.33,0,,0,0,0,0,,0,12,1.33,0,0,0,,34,,12,0,12,22,0,0
179,0,Gujarat Fortunegiants,8,0,0,0,0,0,0,,2,Vikas Kale,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,1,,0,0,0,1,0,0
179,0,Patna Pirates,26,5,39,3,4,0,1,,22,Vikas Kale,100,39,39,1.77,0,,0,0,4,0,,0,36,1.63,0,0,3,,118,,39,0,39,82,0,0
179,0,Haryana Steelers,49,6,38,2,2,0,2,,18,Vikas Kale,66.66,38,38,2.11,0,,0,0,3,0,,0,36,2,0,0,2,,98,,38,0,38,62,1,0
179,0,U Mumba,4,0,0,0,0,0,0,0,0,Vikas Kale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0,Jaipur Pink Panthers,2,3,11,1,0,0,0,,8,C. Arun,0,11,11,1.37,0,,0,0,0,0,,0,10,1.25,0,0,1,,23,,11,0,11,13,0,0
191,0,Jaipur Pink Panthers,3,7,17,5,6,0,1,,11,C. Arun,77.77,18,18,1.63,0,,0.09,1,9,0,,1,12,1.09,0,0,5,,35,,17,1,17,23,2,0
191,0,Bengal Warriors,4,3,15,1,2,0,0,,14,C. Arun,100,15,15,1.07,0,,0,0,2,0,,0,14,1,0,0,1,,40,,15,0,15,26,0,0
191,0,Tamil Thalaivas,8,8,35,5,15,0,1,,20,C. Arun,93.75,36,36,1.8,1,,0.05,0,16,0,,0,30,1.5,0,0,5,,83,,35,1,35,53,1,0
191,0,Tamil Thalaivas,26,2,8,0,3,0,0,,16,C. Arun,100,8,8,0.5,0,,0,0,3,0,,0,8,0.5,0,0,0,,36,,8,0,8,28,0,0
191,0,Telugu Titans,49,6,21,3,2,0,1,,18,C. Arun,100,23,23,1.27,1,,0.11,1,3,0,,1,18,1,0,0,3,,59,,21,2,21,41,0,0
194,0,Bengaluru Bulls,2,4,30,0,0,3,0,,14,Joginder Singh Narwal,0,30,30,2.14,0,,0,0,0,0,,0,30,2.14,0,0,0,,58,,30,0,30,28,0,0
194,0,Puneri Paltan,4,6,34,2,3,1,0,,16,Joginder Singh Narwal,100,38,38,2.37,1,,0.25,3,6,0,,3,32,2,0,0,2,,69,,34,4,34,37,0,2
194,0,U Mumba,8,3,9,0,0,0,0,,8,Joginder Singh Narwal,0,9,9,1.12,0,,0,0,0,0,,0,9,1.12,0,0,0,,24,,9,0,9,15,0,0
194,0,Dabang Delhi K.C.,26,5,51,4,0,5,1,,22,Joginder Singh Narwal,0,51,51,2.31,0,,0,0,0,0,,0,47,2.13,0,0,4,,111,,51,0,51,64,0,0
194,0,Dabang Delhi K.C.,49,6,45,4,0,0,1,,19,Joginder Singh Narwal,0,45,45,2.36,0,,0,0,0,0,,0,41,2.15,0,0,4,,88,,45,0,45,47,0,0
194,0,Bengaluru Bulls,3,0,0,0,0,0,0,0,0,Joginder Singh Narwal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0,Bengaluru Bulls,2,4,0,0,19,1,0,,6,Pardeep Narwal,68.42,9,9,1.5,0,,1.5,9,38,0,,7,0,0,0,1,0,,2,,0,9,0,2,12,0
197,0,Patna Pirates,3,24,5,0,59,0,0,,16,Pardeep Narwal,75.93,121,121,7.56,9,,7.25,107,187,0,,83,5,0.31,5,10,0,,13,,5,116,5,8,45,0
197,0,Patna Pirates,4,18,2,1,100,0,0,,16,Pardeep Narwal,76.04,133,133,8.31,10,,8.18,121,263,0,,100,1,0.06,5,3,1,,6,,2,131,2,5,63,0
197,0,Patna Pirates,8,34,0,0,202,3,0,,26,Pardeep Narwal,80.71,369,369,14.19,60,,14.19,309,586,0,,271,0,0,19,18,0,,10,,0,369,0,10,113,0
197,0,Patna Pirates,26,27,0,0,113,0,0,,21,Pardeep Narwal,76.21,233,233,11.09,29,,11.09,204,391,0,,185,0,0,15,6,0,,1,,0,233,0,1,93,0
197,0,Patna Pirates,49,26,0,0,98,2,0,,19,Pardeep Narwal,75.19,243,243,12.78,28,,12.78,215,383,0,,190,0,0,13,12,0,,2,,0,243,0,2,95,0
202,0,Bengaluru Bulls,2,4,3,1,7,1,0,,5,Ashish Kumar,90,5,5,1,0,,0.4,2,10,0,,2,2,0.4,0,0,1,,10,,3,2,3,8,1,0
202,0,Bengaluru Bulls,3,7,25,0,11,0,1,,13,Ashish Kumar,84.21,32,32,2.46,5,,0.53,2,19,0,,5,25,1.92,0,0,0,,61,,25,7,25,36,3,0
202,0,Bengaluru Bulls,4,7,23,6,28,0,1,,14,Ashish Kumar,81.25,37,37,2.64,6,,1,8,48,0,,11,17,1.21,0,0,6,,44,,23,14,23,27,9,0
202,0,Bengaluru Bulls,8,6,15,1,37,0,1,,20,Ashish Kumar,75.71,32,32,1.6,8,,0.85,9,70,0,,16,14,0.7,0,0,1,,49,,15,17,15,35,17,0
202,0,Bengaluru Bulls,26,7,40,3,22,0,1,,24,Ashish Kumar,92.59,45,45,1.87,3,,0.2,2,27,0,,3,37,1.54,0,0,3,,87,,40,5,40,50,2,0
202,0,Bengaluru Bulls,49,4,5,2,9,0,0,,7,Ashish Kumar,75,6,6,0.85,1,,0.14,0,12,0,,0,3,0.42,0,0,2,,19,,5,1,5,16,3,0
2020,0,U.P. Yoddha,26,2,6,1,0,2,0,,14,Amit,0,6,6,0.42,0,,0,0,0,0,,0,5,0.35,0,0,1,,31,,6,0,6,26,0,0
2020,0,U.P. Yoddha,49,4,23,2,13,0,0,,18,Amit,100,25,25,1.38,0,,0.11,2,14,0,,1,21,1.16,0,0,2,,64,,23,2,23,43,0,0
2023,0,Gujarat Fortunegiants,26,5,47,3,3,2,1,,23,Ruturaj Shivaji Koravi,100,47,47,2.04,0,,0,0,3,0,,0,44,1.91,0,0,3,,121,,47,0,47,77,0,0
2023,0,Gujarat Fortunegiants,49,3,15,0,0,0,0,,15,Ruturaj Shivaji Koravi,0,15,15,1,0,,0,0,0,0,,0,15,1,0,0,0,,48,,15,0,15,33,0,0
2024,0,U Mumba,26,4,0,0,5,0,0,,3,Arjun Deshwal,72.72,4,4,1.33,0,,1.33,4,11,0,,3,0,0,0,0,0,,0,,0,4,0,0,3,0
2024,0,U Mumba,49,15,2,0,55,1,0,,16,Arjun Deshwal,75.67,78,78,4.87,11,,4.75,65,148,0,,57,2,0.12,2,2,0,,5,,2,76,2,3,36,0
2025,0,U Mumba,49,1,0,0,2,0,0,,2,Ajinkya Rohidas Kapre,60,1,1,0.5,1,,0.5,0,5,0,,1,0,0,0,0,0,,1,,0,1,0,1,2,0
2026,0,U Mumba,26,19,3,0,80,0,0,,21,Siddharth Sirish Desai,77.57,221,221,10.52,36,,10.38,182,321,0,,169,3,0.14,12,10,0,,9,,3,218,3,6,72,0
2026,0,Telugu Titans,49,23,3,0,55,0,0,,18,Siddharth Sirish Desai,72.79,177,177,9.83,42,,9.66,132,272,0,,143,3,0.16,7,6,0,,6,,3,174,3,3,74,0
